Stock,Date,Adj Close
S&P500,10/1/1977,92.339996
S&P500,11/1/1977,94.830002
S&P500,12/1/1977,95.099998
S&P500,1/1/1978,89.25
S&P500,2/1/1978,87.040001
S&P500,3/1/1978,89.209999
S&P500,4/1/1978,96.830002
S&P500,5/1/1978,97.239998
S&P500,6/1/1978,95.529999
S&P500,7/1/1978,100.68
S&P500,8/1/1978,103.290001
S&P500,9/1/1978,102.540001
S&P500,10/1/1978,93.150002
S&P500,11/1/1978,94.699997
S&P500,12/1/1978,96.110001
S&P500,1/1/1979,99.93
S&P500,2/1/1979,96.279999
S&P500,3/1/1979,101.589996
S&P500,4/1/1979,101.760002
S&P500,5/1/1979,99.080002
S&P500,6/1/1979,102.910004
S&P500,7/1/1979,103.809998
S&P500,8/1/1979,109.32
S&P500,9/1/1979,109.32
S&P500,10/1/1979,101.82
S&P500,11/1/1979,106.160004
S&P500,12/1/1979,107.940002
S&P500,1/1/1980,114.160004
S&P500,2/1/1980,113.660004
S&P500,3/1/1980,102.089996
S&P500,4/1/1980,106.290001
S&P500,5/1/1980,111.239998
S&P500,6/1/1980,114.239998
S&P500,7/1/1980,121.669998
S&P500,8/1/1980,122.379997
S&P500,9/1/1980,125.459999
S&P500,10/1/1980,127.470001
S&P500,11/1/1980,140.520004
S&P500,12/1/1980,135.759995
S&P500,1/1/1981,129.550003
S&P500,2/1/1981,131.270004
S&P500,3/1/1981,136
S&P500,4/1/1981,132.809998
S&P500,5/1/1981,132.589996
S&P500,6/1/1981,131.210007
S&P500,7/1/1981,130.919998
S&P500,8/1/1981,122.790001
S&P500,9/1/1981,116.18
S&P500,10/1/1981,121.889999
S&P500,11/1/1981,126.349998
S&P500,12/1/1981,122.550003
S&P500,1/1/1982,120.400002
S&P500,2/1/1982,113.110001
S&P500,3/1/1982,111.959999
S&P500,4/1/1982,116.440002
S&P500,5/1/1982,111.879997
S&P500,6/1/1982,109.610001
S&P500,7/1/1982,107.089996
S&P500,8/1/1982,119.510002
S&P500,9/1/1982,120.419998
S&P500,10/1/1982,133.720001
S&P500,11/1/1982,138.529999
S&P500,12/1/1982,140.639999
S&P500,1/1/1983,145.300003
S&P500,2/1/1983,148.059998
S&P500,3/1/1983,152.960007
S&P500,4/1/1983,164.429993
S&P500,5/1/1983,162.389999
S&P500,6/1/1983,167.639999
S&P500,7/1/1983,162.559998
S&P500,8/1/1983,164.399994
S&P500,9/1/1983,166.070007
S&P500,10/1/1983,163.550003
S&P500,11/1/1983,166.399994
S&P500,12/1/1983,164.929993
S&P500,1/1/1984,163.410004
S&P500,2/1/1984,157.059998
S&P500,3/1/1984,159.179993
S&P500,4/1/1984,160.050003
S&P500,5/1/1984,150.550003
S&P500,6/1/1984,153.179993
S&P500,7/1/1984,150.660004
S&P500,8/1/1984,166.679993
S&P500,9/1/1984,166.100006
S&P500,10/1/1984,166.089996
S&P500,11/1/1984,163.580002
S&P500,12/1/1984,167.240005
S&P500,1/1/1985,179.630005
S&P500,2/1/1985,181.179993
S&P500,3/1/1985,180.660004
S&P500,4/1/1985,179.830002
S&P500,5/1/1985,189.550003
S&P500,6/1/1985,191.850006
S&P500,7/1/1985,190.919998
S&P500,8/1/1985,188.630005
S&P500,9/1/1985,182.080002
S&P500,10/1/1985,189.820007
S&P500,11/1/1985,202.169998
S&P500,12/1/1985,211.279999
S&P500,1/1/1986,211.779999
S&P500,2/1/1986,226.919998
S&P500,3/1/1986,238.899994
S&P500,4/1/1986,235.520004
S&P500,5/1/1986,247.350006
S&P500,6/1/1986,250.839996
